Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Quitinete;Copacabana;1;0;0;40;1700.0;500;60
Casa;Jardim Botânico;2;0;1;100;7000.0;0;0
Apartamento;Centro;1;0;0;15;800.0;390;20
Apartamento;Higienópolis;1;0;0;48;800.0;230;0
Apartamento;Vista Alegre;3;1;0;70;1200.0;0;0
Apartamento;Cachambi;2;0;0;50;1300.0;301;17
Casa de Condomínio;Ramos;2;2;0;65;1000.0;0;0
Apartamento;Centro;1;0;0;36;1200.0;0;0
Apartamento;Grajaú;2;1;0;70;1500.0;642;74
Apartamento;Lins de Vasconcelos;3;1;1;90;1500.0;455;14
Apartamento;Copacabana;1;0;1;40;2000.0;561;50
Quitinete;Copacabana;1;0;0;27;1800.0;501;0
Flat;Botafogo;3;1;1;80;3800.0;1040;0
Casa de Condomínio;Taquara;3;1;1;115;2000.0;0;0
Apartamento;Freguesia (Jacarepaguá);3;0;0;54;950.0;300;28
Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589;147
Apartamento;Tijuca;2;1;0;110;1900.0;700;138
Casa de Condomínio;Barra da Tijuca;4;3;2;466;7500.0;2695;0
Apartamento;Olaria;3;1;0;68;1000.0;670;0
Apartamento;Tijuca;2;1;0;78;2000.0;700;0
Flat;Leblon;1;0;0;56;4500.0;1900;1500
Apartamento;Ipanema;3;1;1;125;7000.0;2100;463
Apartamento;Tijuca;1;0;0;48;750.0;772;25
Apartamento;Barra da Tijuca;3;3;1;175;4200.0;1500;500
Apartamento;Botafogo;2;1;0;76;2500.0;740;0
Apartamento;Copacabana;3;1;2;378;10000.0;2150;700
Apartamento;Copacabana;3;0;0;180;5500.0;1780;420
Apartamento;Recreio dos Bandeirantes;3;1;1;105;2300.0;648;0
Apartamento;Leblon;3;1;0;110;3900.0;1500;120
Quitinete;Copacabana;1;0;0;27;1300.0;380;53
Apartamento;Jardim Oceânico;3;3;1;200;3500.0;1780;496
Apartamento;Barra da Tijuca;3;1;2;70;1800.0;1095;140
Apartamento;Copacabana;4;1;0;244;5000.0;2500;4100
Apartamento;Barra da Tijuca;3;2;1;110;4500.0;2000;450
Apartamento;Recreio dos Bandeirantes;2;2;2;90;3000.0;1340;0
Apartamento;Recreio dos Bandeirantes;3;2;2;100;2600.0;380;0
Apartamento;Barra da Tijuca;3;1;1;72;2350.0;600;70
Apartamento;Humaitá;2;2;1;180;4000.0;2500;300
Apartamento;Recreio dos Bandeirantes;3;1;2;92;2300.0;840;200
Apartamento;Centro;1;0;0;27;750.0;371;19
